Week,Rainfall(mm/week),CloudMovementSpeed(km/h),WindSpeed(km/h),SunlightDuration(hrs/day),ExtremeWeatherDays,SoilType,TerrainType,FertilizerType,FertilizerSuitability,SoilMoisture(%),CropType,Viability,GrowthGrade
1,210,50,30,5,4,Sandy,Lowland,Not,No,100,Corn,Not Viable,Poor
1,210,50,30,5,4,Sandy,Lowland,Organic,No,100,Chili,Not Viable,Poor
1,210,50,30,5,4,Sandy,Lowland,NPK,Yes,100,Kangkung,Viable,Good
1,210,50,30,5,4,Sandy,Lowland,Ammonium Sulfate,No,100,Kangkung,Not Viable,Poor
1,210,50,30,5,4,Sandy,Upland,Not,No,94,Corn,Not Viable,Poor
1,210,50,30,5,4,Sandy,Upland,Organic,No,96,Okra,Not Viable,Poor
1,210,50,30,5,4,Sandy,Upland,NPK,Yes,99,Corn,Viable,Good
1,210,50,30,5,4,Sandy,Upland,Ammonium Sulfate,No,91,Kangkung,Not Viable,Poor
1,210,50,30,5,4,Sandy,Slope,Not,No,88,Okra,Not Viable,Poor
1,210,50,30,5,4,Sandy,Slope,Organic,No,81,Corn,Not Viable,Poor
1,210,50,30,5,4,Sandy,Slope,NPK,Yes,81,Corn,Viable,Good
1,210,50,30,5,4,Sandy,Slope,Ammonium Sulfate,No,85,Okra,Not Viable,Poor
1,210,50,30,5,4,Clay,Lowland,Not,No,100,Kangkung,Not Viable,Poor
1,210,50,30,5,4,Clay,Lowland,Organic,No,100,Kangkung,Not Viable,Poor
1,210,50,30,5,4,Clay,Lowland,NPK,No,100,Chili,Not Viable,Poor
1,210,50,30,5,4,Clay,Lowland,Ammonium Sulfate,No,100,Sweet Potato,Not Viable,Poor
1,210,50,30,5,4,Clay,Upland,Not,No,100,Okra,Not Viable,Poor
1,210,50,30,5,4,Clay,Upland,Organic,No,100,Corn,Not Viable,Poor
1,210,50,30,5,4,Clay,Upland,NPK,No,100,Sweet Potato,Not Viable,Poor
1,210,50,30,5,4,Clay,Upland,Ammonium Sulfate,No,100,Kangkung,Not Viable,Poor
1,210,50,30,5,4,Clay,Slope,Not,No,100,Corn,Not Viable,Poor
1,210,50,30,5,4,Clay,Slope,Organic,No,100,Kangkung,Not Viable,Poor
1,210,50,30,5,4,Clay,Slope,NPK,No,100,Sweet Potato,Not Viable,Poor
1,210,50,30,5,4,Clay,Slope,Ammonium Sulfate,No,100,Okra,Not Viable,Poor
1,210,50,30,5,4,Loam,Lowland,Not,No,100,Chili,Not Viable,Poor
1,210,50,30,5,4,Loam,Lowland,Organic,Yes,100,Kangkung,Viable,Good
1,210,50,30,5,4,Loam,Lowland,NPK,No,100,Kangkung,Not Viable,Poor
1,210,50,30,5,4,Loam,Lowland,Ammonium Sulfate,No,100,Corn,Not Viable,Poor
1,210,50,30,5,4,Loam,Upland,Not,No,100,Kangkung,Not Viable,Poor
1,210,50,30,5,4,Loam,Upland,Organic,Yes,100,Okra,Viable,Good
